black_method,white_method,black_score,white_score,black_read_goal,white_read_goal,seed
random,random,24,40,1,1,0
random,random,25,39,1,1,1
random,random,37,27,1,1,2
random,random,22,42,1,1,3
random,random,29,35,1,1,4
random,random,31,33,1,1,5
random,random,37,27,1,1,6
random,random,23,41,1,1,7
random,random,36,28,1,1,8
random,random,20,44,1,1,9
random,random,46,18,1,1,10
random,random,34,30,1,1,11
random,random,32,32,1,1,12
random,random,33,31,1,1,13
random,random,40,24,1,1,14
random,random,23,41,1,1,15
random,random,41,23,1,1,16
random,random,35,29,1,1,17
random,random,28,36,1,1,18
random,random,38,26,1,1,19
random,random,23,41,1,1,20
random,random,39,25,1,1,21
random,random,35,29,1,1,22
random,random,40,24,1,1,23
random,random,24,40,1,1,24
random,random,39,25,1,1,25
random,random,36,28,1,1,26
random,random,31,33,1,1,27
random,random,25,39,1,1,28
random,random,34,30,1,1,29
random,random,27,37,1,1,30
random,random,37,27,1,1,31
random,random,29,35,1,1,32
random,random,49,15,1,1,33
random,random,33,31,1,1,34
random,random,13,51,1,1,35
random,random,27,37,1,1,36
random,random,42,22,1,1,37
random,random,31,33,1,1,38
random,random,27,37,1,1,39
random,random,37,27,1,1,40
random,random,20,44,1,1,41
random,random,22,42,1,1,42
random,random,43,21,1,1,43
random,random,33,31,1,1,44
random,random,33,31,1,1,45
random,random,43,21,1,1,46
random,random,23,41,1,1,47
random,random,20,44,1,1,48
random,random,23,41,1,1,49
random,random,23,41,1,1,50
random,random,24,40,1,1,51
random,random,37,27,1,1,52
random,random,24,40,1,1,53
random,random,52,12,1,1,54
random,random,35,28,1,1,55
random,random,42,22,1,1,56
random,random,34,30,1,1,57
random,random,23,41,1,1,58
random,random,22,42,1,1,59
random,random,25,39,1,1,60
random,random,35,29,1,1,61
random,random,30,34,1,1,62
random,random,25,39,1,1,63
random,random,21,43,1,1,64
random,random,31,33,1,1,65
random,random,33,31,1,1,66
random,random,36,28,1,1,67
random,random,47,17,1,1,68
random,random,36,28,1,1,69
random,random,46,18,1,1,70
random,random,25,39,1,1,71
random,random,35,29,1,1,72
random,random,18,46,1,1,73
random,random,31,33,1,1,74
random,random,39,25,1,1,75
random,random,30,34,1,1,76
random,random,25,39,1,1,77
random,random,36,28,1,1,78
random,random,17,47,1,1,79
random,random,37,27,1,1,80
random,random,44,20,1,1,81
random,random,28,36,1,1,82
random,random,21,43,1,1,83
random,random,42,22,1,1,84
random,random,49,15,1,1,85
random,random,32,32,1,1,86
random,random,23,41,1,1,87
random,random,24,40,1,1,88
random,random,39,25,1,1,89
random,random,40,24,1,1,90
random,random,16,48,1,1,91
random,random,35,29,1,1,92
random,random,32,32,1,1,93
random,random,25,39,1,1,94
random,random,23,41,1,1,95
random,random,29,35,1,1,96
random,random,39,25,1,1,97
random,random,33,31,1,1,98
random,random,54,10,1,1,99
random,random,24,40,1,2,0
random,random,25,39,1,2,1
random,random,37,27,1,2,2
random,random,22,42,1,2,3
random,random,29,35,1,2,4
random,random,31,33,1,2,5
random,random,37,27,1,2,6
random,random,23,41,1,2,7
random,random,36,28,1,2,8
random,random,20,44,1,2,9
random,random,46,18,1,2,10
random,random,34,30,1,2,11
random,random,32,32,1,2,12
random,random,33,31,1,2,13
random,random,40,24,1,2,14
random,random,23,41,1,2,15
random,random,41,23,1,2,16
random,random,35,29,1,2,17
random,random,28,36,1,2,18
random,random,38,26,1,2,19
random,random,23,41,1,2,20
random,random,39,25,1,2,21
random,random,35,29,1,2,22
random,random,40,24,1,2,23
random,random,24,40,1,2,24
random,random,39,25,1,2,25
random,random,36,28,1,2,26
random,random,31,33,1,2,27
random,random,25,39,1,2,28
random,random,34,30,1,2,29
random,random,27,37,1,2,30
random,random,37,27,1,2,31
random,random,29,35,1,2,32
random,random,49,15,1,2,33
random,random,33,31,1,2,34
random,random,13,51,1,2,35
random,random,27,37,1,2,36
random,random,42,22,1,2,37
random,random,31,33,1,2,38
random,random,27,37,1,2,39
random,random,37,27,1,2,40
random,random,20,44,1,2,41
random,random,22,42,1,2,42
random,random,43,21,1,2,43
random,random,33,31,1,2,44
random,random,33,31,1,2,45
random,random,43,21,1,2,46
random,random,23,41,1,2,47
random,random,20,44,1,2,48
random,random,23,41,1,2,49
random,random,23,41,1,2,50
random,random,24,40,1,2,51
random,random,37,27,1,2,52
random,random,24,40,1,2,53
random,random,52,12,1,2,54
random,random,35,28,1,2,55
random,random,42,22,1,2,56
random,random,34,30,1,2,57
random,random,23,41,1,2,58
random,random,22,42,1,2,59
random,random,25,39,1,2,60
random,random,35,29,1,2,61
random,random,30,34,1,2,62
random,random,25,39,1,2,63
random,random,21,43,1,2,64
random,random,31,33,1,2,65
