,batch_size,num_of_layer,lr,lower_bound,upper_bound,MSE_test,MAE_test
0,100,2,0.01,-1,1,variable(97.44322),variable(7.2740903)
1,100,2,0.01,-2,2,variable(106.066574),variable(7.3728156)
2,100,2,0.01,-3,3,variable(102.77677),variable(7.307847)
3,100,2,0.01,-4,4,variable(105.50677),variable(7.270684)
4,100,2,0.01,-5,5,variable(105.04385),variable(7.3671637)
5,100,2,0.025,-1,1,variable(96.226234),variable(7.1883583)
6,100,2,0.025,-2,2,variable(105.650444),variable(7.3373675)
7,100,2,0.025,-3,3,variable(105.1918),variable(7.4548426)
8,100,2,0.025,-4,4,variable(108.57821),variable(7.4433312)
9,100,2,0.025,-5,5,variable(111.67445),variable(7.622105)
10,100,2,0.3,-1,1,variable(101.65623),variable(7.3508964)
11,100,2,0.3,-2,2,variable(106.568825),variable(7.5894217)
12,100,2,0.3,-3,3,variable(104.996994),variable(7.2395225)
13,100,2,0.3,-4,4,variable(106.226036),variable(7.436909)
14,100,2,0.3,-5,5,variable(109.108215),variable(7.438633)
15,100,3,0.01,-1,1,variable(74.03839),variable(5.7170563)
16,100,3,0.01,-2,2,variable(81.57816),variable(5.963513)
17,100,3,0.01,-3,3,variable(82.32704),variable(5.71341)
18,100,3,0.01,-4,4,variable(82.39873),variable(5.6679225)
19,100,3,0.01,-5,5,variable(85.11013),variable(5.8905873)
20,100,3,0.025,-1,1,variable(86.48457),variable(6.0643024)
21,100,3,0.025,-2,2,variable(81.60855),variable(5.7471004)
22,100,3,0.025,-3,3,variable(88.58001),variable(6.0205784)
23,100,3,0.025,-4,4,variable(74.841484),variable(5.50938)
24,100,3,0.025,-5,5,variable(80.2312),variable(5.4785943)
25,100,3,0.3,-1,1,variable(77.93044),variable(5.7210927)
26,100,3,0.3,-2,2,variable(83.79667),variable(5.940957)
27,100,3,0.3,-3,3,variable(79.51182),variable(5.5590305)
28,100,3,0.3,-4,4,variable(91.5193),variable(6.1926804)
29,100,3,0.3,-5,5,variable(87.24957),variable(5.929681)
30,100,4,0.01,-1,1,variable(69.0076),variable(4.850802)
31,100,4,0.01,-2,2,variable(77.10705),variable(4.9033856)
32,100,4,0.01,-3,3,variable(83.131165),variable(5.3459516)
33,100,4,0.01,-4,4,variable(91.1665),variable(5.37402)
34,100,4,0.01,-5,5,variable(82.51868),variable(4.867317)
35,100,4,0.025,-1,1,variable(80.395325),variable(5.110727)
36,100,4,0.025,-2,2,variable(86.97453),variable(5.562832)
37,100,4,0.025,-3,3,variable(86.40424),variable(5.1392665)
38,100,4,0.025,-4,4,variable(75.090805),variable(4.980919)
39,100,4,0.025,-5,5,variable(74.332245),variable(5.1548257)
40,100,4,0.3,-1,1,variable(69.42838),variable(4.6817784)
41,100,4,0.3,-2,2,variable(78.1408),variable(4.973452)
42,100,4,0.3,-3,3,variable(76.28896),variable(5.1845474)
43,100,4,0.3,-4,4,variable(82.86402),variable(5.0714107)
44,100,4,0.3,-5,5,variable(82.439026),variable(5.1490135)
45,150,2,0.01,-1,1,variable(94.84338),variable(6.9121695)
46,150,2,0.01,-2,2,variable(108.44186),variable(7.3345866)
47,150,2,0.01,-3,3,variable(108.57332),variable(7.521841)
48,150,2,0.01,-4,4,variable(112.17875),variable(7.6644645)
