,black_method,white_method,black_score,white_score,black_win,white_win
0,random,5hand,25,39,0,1
1,random,5hand_custom,22,42,0,1
2,random,2least,8,56,0,1
3,random,2most,37,27,1,0
4,random,Ridge,47,17,1,0
5,random,NN,30,34,0,1
6,5hand,random,44,20,1,0
7,5hand,5hand_custom,29,35,0,1
8,5hand,2least,21,43,0,1
9,5hand,2most,46,18,1,0
10,5hand,Ridge,35,29,1,0
11,5hand,NN,45,19,1,0
12,5hand_custom,random,43,21,1,0
13,5hand_custom,5hand,42,22,1,0
14,5hand_custom,2least,20,44,0,1
15,5hand_custom,2most,30,34,0,1
16,5hand_custom,Ridge,37,27,1,0
17,5hand_custom,NN,38,26,1,0
18,2least,random,32,32,0,0
19,2least,5hand,33,31,1,0
20,2least,5hand_custom,35,29,1,0
21,2least,2most,45,19,1,0
22,2least,Ridge,42,22,1,0
23,2least,NN,40,24,1,0
24,2most,random,29,35,0,1
25,2most,5hand,22,42,0,1
26,2most,5hand_custom,32,32,0,0
27,2most,2least,10,54,0,1
28,2most,Ridge,29,35,0,1
29,2most,NN,56,8,1,0
30,Ridge,random,46,18,1,0
31,Ridge,5hand,25,39,0,1
32,Ridge,5hand_custom,48,16,1,0
33,Ridge,2least,45,19,1,0
34,Ridge,2most,40,24,1,0
35,Ridge,NN,43,21,1,0
36,NN,random,24,40,0,1
37,NN,5hand,15,49,0,1
38,NN,5hand_custom,20,44,0,1
39,NN,2least,1,62,0,1
40,NN,2most,43,21,1,0
41,NN,Ridge,46,18,1,0
