,batch_size,multi,optimizer,bound,test_MSE,test_MAE
0,150,1.5,Adam,1,variable(196.01646),variable(8.876967)
1,150,1.5,Adam,2,variable(182.72466),variable(8.520519)
2,150,1.5,Adam,3,variable(190.4978),variable(8.857304)
3,150,1.5,Adam,4,variable(227.05202),variable(9.844216)
4,150,1.5,RMSpropGraves,1,variable(197.2275),variable(8.608305)
5,150,1.5,RMSpropGraves,2,variable(197.44333),variable(8.611169)
6,150,1.5,RMSpropGraves,3,variable(214.2214),variable(9.03679)
7,150,1.5,RMSpropGraves,4,variable(197.08878),variable(8.933528)
8,150,1.5,SMORMS3,1,variable(204.74106),variable(8.960009)
9,150,1.5,SMORMS3,2,variable(194.9018),variable(8.571934)
10,150,1.5,SMORMS3,3,variable(175.63153),variable(8.503257)
11,150,1.5,SMORMS3,4,variable(180.58739),variable(8.628273)
12,150,1.5,AMSGrad,1,variable(207.90598),variable(9.102185)
13,150,1.5,AMSGrad,2,variable(203.10748),variable(9.651287)
14,150,1.5,AMSGrad,3,variable(204.15585),variable(8.683443)
15,150,1.5,AMSGrad,4,variable(181.21),variable(8.561103)
16,150,2,Adam,1,variable(212.15034),variable(8.870997)
17,150,2,Adam,2,variable(244.61484),variable(10.314717)
18,150,2,Adam,3,variable(239.60825),variable(9.57916)
19,150,2,Adam,4,variable(210.01881),variable(9.091511)
20,150,2,RMSpropGraves,1,variable(198.5551),variable(9.008877)
21,150,2,RMSpropGraves,2,variable(205.10349),variable(8.789681)
22,150,2,RMSpropGraves,3,variable(212.76395),variable(9.622183)
23,150,2,RMSpropGraves,4,variable(209.33253),variable(8.879964)
24,150,2,SMORMS3,1,variable(220.0139),variable(9.25087)
25,150,2,SMORMS3,2,variable(202.09314),variable(8.862048)
26,150,2,SMORMS3,3,variable(208.58289),variable(9.18254)
27,150,2,SMORMS3,4,variable(198.68338),variable(9.16179)
28,150,2,AMSGrad,1,variable(204.86832),variable(8.921205)
29,150,2,AMSGrad,2,variable(200.67313),variable(8.687293)
30,150,2,AMSGrad,3,variable(182.96455),variable(8.458154)
31,150,2,AMSGrad,4,variable(223.76295),variable(9.466236)
32,150,2.5,Adam,1,variable(207.89378),variable(9.132504)
33,150,2.5,Adam,2,variable(197.84218),variable(9.299621)
34,150,2.5,Adam,3,variable(201.23892),variable(8.977173)
35,150,2.5,Adam,4,variable(207.56932),variable(9.492405)
36,150,2.5,RMSpropGraves,1,variable(180.77379),variable(8.583092)
37,150,2.5,RMSpropGraves,2,variable(200.0775),variable(9.068183)
38,150,2.5,RMSpropGraves,3,variable(200.87645),variable(9.107193)
39,150,2.5,RMSpropGraves,4,variable(231.21892),variable(9.717416)
40,150,2.5,SMORMS3,1,variable(226.35623),variable(9.394226)
41,150,2.5,SMORMS3,2,variable(202.68297),variable(9.524273)
42,150,2.5,SMORMS3,3,variable(222.347),variable(9.846026)
43,150,2.5,SMORMS3,4,variable(227.08543),variable(9.491622)
44,150,2.5,AMSGrad,1,variable(193.02818),variable(9.037853)
45,150,2.5,AMSGrad,2,variable(212.2675),variable(9.528724)
46,150,2.5,AMSGrad,3,variable(219.58101),variable(9.730609)
47,150,2.5,AMSGrad,4,variable(200.97035),variable(9.30843)
48,200,1.5,Adam,1,variable(179.6947),variable(8.403702)
49,200,1.5,Adam,2,variable(199.56966),variable(8.9812355)
50,200,1.5,Adam,3,variable(191.53845),variable(8.7389965)
51,200,1.5,Adam,4,variable(208.94165),variable(9.394388)
52,200,1.5,RMSpropGraves,1,variable(214.58015),variable(8.9836445)
53,200,1.5,RMSpropGraves,2,variable(204.42796),variable(9.114661)
54,200,1.5,RMSpropGraves,3,variable(188.50371),variable(8.770225)
55,200,1.5,RMSpropGraves,4,variable(224.86005),variable(9.264592)
56,200,1.5,SMORMS3,1,variable(189.8984),variable(8.506469)
57,200,1.5,SMORMS3,2,variable(197.23814),variable(8.872195)
58,200,1.5,SMORMS3,3,variable(208.53346),variable(9.2384815)
59,200,1.5,SMORMS3,4,variable(191.36751),variable(8.448096)
60,200,1.5,AMSGrad,1,variable(191.63817),variable(8.914373)
61,200,1.5,AMSGrad,2,variable(174.39688),variable(8.461012)
62,200,1.5,AMSGrad,3,variable(200.03084),variable(8.993972)
63,200,1.5,AMSGrad,4,variable(197.26788),variable(8.932978)
64,200,2,Adam,1,variable(210.09659),variable(9.399189)
65,200,2,Adam,2,variable(196.8926),variable(8.946974)
66,200,2,Adam,3,variable(203.4625),variable(9.308766)
67,200,2,Adam,4,variable(202.54453),variable(8.996907)
68,200,2,RMSpropGraves,1,variable(178.35393),variable(8.109063)
69,200,2,RMSpropGraves,2,variable(202.73878),variable(8.674209)
