,batch_size,optimizer,hook_function,test_MSE,test_MAE
0,200,AdaDelta,WeightDecay,216.15505981445312,10.87468433380127
1,200,AdaDelta,Lasso,209.0475311279297,10.463465690612793
2,200,AdaDelta,GradientHardClipping,208.36497497558594,10.529593467712402
3,200,AdaDelta,GradientLARS,248.12562561035156,11.551387786865234
4,200,Adam,WeightDecay,220.9988250732422,11.300673484802246
5,200,Adam,Lasso,247.44644165039062,11.889641761779785
6,200,Adam,GradientHardClipping,240.0696563720703,11.33824348449707
7,200,Adam,GradientLARS,244.3524627685547,11.640982627868652
8,200,RMSpropGraves,WeightDecay,224.07791137695312,11.092294692993164
9,200,RMSpropGraves,Lasso,235.3253936767578,11.19697380065918
10,200,RMSpropGraves,GradientHardClipping,233.5724334716797,11.338589668273926
11,200,RMSpropGraves,GradientLARS,250.3813018798828,11.567967414855957
12,200,SMORMS3,WeightDecay,243.40574645996094,11.780932426452637
13,200,SMORMS3,Lasso,233.5493927001953,11.345051765441895
14,200,SMORMS3,GradientHardClipping,232.99285888671875,11.263066291809082
15,200,SMORMS3,GradientLARS,245.88914489746094,11.686192512512207
16,200,AMSGrad,WeightDecay,229.02684020996094,11.446743965148926
17,200,AMSGrad,Lasso,243.87901306152344,11.797703742980957
18,200,AMSGrad,GradientHardClipping,221.3275146484375,11.313796997070312
19,200,AMSGrad,GradientLARS,237.2647705078125,11.599929809570312
20,200,AdaBound,WeightDecay,152.0159912109375,8.617790222167969
21,200,AdaBound,Lasso,159.6063232421875,8.873492240905762
22,200,AdaBound,GradientHardClipping,212.29556274414062,10.743124961853027
23,200,AdaBound,GradientLARS,242.75022888183594,11.767512321472168
24,200,AMSBound,WeightDecay,150.7465057373047,8.503969192504883
25,200,AMSBound,Lasso,191.78697204589844,9.536628723144531
26,200,AMSBound,GradientHardClipping,217.8572540283203,10.808306694030762
27,200,AMSBound,GradientLARS,235.72933959960938,11.601815223693848
28,600,AdaDelta,WeightDecay,225.6739501953125,11.110441207885742
29,600,AdaDelta,Lasso,211.10508728027344,10.50906753540039
30,600,AdaDelta,GradientHardClipping,269.30413818359375,11.86247730255127
31,600,AdaDelta,GradientLARS,254.5115509033203,11.526861190795898
32,600,Adam,WeightDecay,240.0452423095703,11.670942306518555
33,600,Adam,Lasso,237.9120635986328,11.760393142700195
34,600,Adam,GradientHardClipping,245.29737854003906,11.73859977722168
35,600,Adam,GradientLARS,268.7975158691406,12.309065818786621
36,600,RMSpropGraves,WeightDecay,234.99954223632812,11.251795768737793
37,600,RMSpropGraves,Lasso,223.7075958251953,11.034669876098633
38,600,RMSpropGraves,GradientHardClipping,233.2650909423828,11.353250503540039
39,600,RMSpropGraves,GradientLARS,242.2484588623047,11.404156684875488
40,600,SMORMS3,WeightDecay,229.20529174804688,11.362945556640625
41,600,SMORMS3,Lasso,227.19078063964844,11.258630752563477
42,600,SMORMS3,GradientHardClipping,226.9127655029297,11.461220741271973
