number,win,stone
0,-4,-122
1,-4,-125
2,2,-37
3,-2,-86
4,-2,-11
5,0,-54
6,-2,-94
7,2,44
8,0,-34
9,-2,12
10,-8,-199
11,-4,-122
12,-6,-123
13,-4,-118
14,-6,-154
15,-8,-145
16,2,48
17,-8,-168
18,2,41
19,0,-81
20,-2,8
21,-2,-115
22,6,90
23,-2,0
24,6,100
25,-2,-46
26,-2,-161
27,-2,-70
28,0,-26
29,-4,-118
30,-2,1
31,-2,-52
32,0,16
33,-6,-128
34,0,9
35,-4,-48
36,0,22
37,-6,-134
38,2,15
39,-6,-75
40,4,36
41,-2,-85
42,-6,-160
43,0,-39
44,-2,-86
45,-2,-32
46,-2,-86
47,-4,-160
48,-6,-87
49,2,16
50,2,48
51,2,-34
52,-2,-19
53,0,-22
54,2,-15
55,-6,-139
56,-2,-50
57,-2,-109
58,-2,-100
59,0,63
60,-8,-132
61,-6,-119
62,2,-17
63,-2,32
64,-2,-102
65,4,65
66,0,-2
67,-2,-42
68,-6,-92
69,-2,16
70,-6,-108
71,-2,-80
72,-6,-86
73,-2,-52
74,-6,-121
75,-2,-7
76,-4,-62
77,-6,-90
78,0,-28
79,-6,-100
80,-2,-2
81,-6,-121
82,-2,-93
83,-2,-23
84,-6,-78
85,0,-48
86,-4,-60
87,-2,-96
88,-2,-97
89,-8,-215
90,0,-52
91,-4,-137
92,0,-93
93,-6,-108
94,-2,-97
95,-4,-89
96,0,-64
97,2,-3
98,-4,-68
99,-2,7
100,-4,-40
101,0,-32
102,0,20
103,-4,-109
104,-8,-186
105,-2,-51
106,-2,-84
107,-2,-10
108,-4,-64
109,2,-2
110,-6,-131
111,0,-70
112,0,18
113,-2,-38
114,-2,-46
115,-4,-131
116,0,-75
117,-2,0
118,-2,-102
119,-4,-118
120,-4,-137
121,-8,-132
122,2,-51
123,-2,-16
124,-6,-100
125,-2,-68
126,2,58
127,-6,-96
128,0,-37
129,2,21
130,-2,-28
131,-2,-28
132,-2,-93
133,-2,-56
134,-2,12
135,-6,-130
136,-4,-106
137,-2,-74
138,0,-22
139,4,50
140,-4,-106
141,-4,-120
142,-2,-22
143,-8,-148
144,-6,-111
145,-2,-104
146,-8,-124
147,2,56
148,-4,-118
149,-4,-126
150,-4,-126
151,-2,-51
152,0,18
153,0,-10
154,0,-30
155,-2,-114
156,-4,-146
157,2,51
158,-4,-139
159,-2,-110
160,0,-4
161,-8,-190
162,-2,-67
163,-2,-64
164,-6,-165
165,-4,-63
166,0,-40
167,0,2
168,-4,-83
169,-4,-66
170,-4,-108
171,-2,-98
172,-4,-36
173,-4,-104
174,-2,-22
175,-2,-120
176,-2,-24
177,-6,-201
178,4,98
179,-2,-175
180,-2,-48
181,-6,-98
182,-4,-125
183,-2,-93
184,-2,-34
185,2,68
186,-2,6
187,0,60
188,-8,-93
189,-4,-92
190,-8,-152
191,0,-48
192,-4,-118
193,-2,-50
194,0,-12
195,-6,-146
196,-4,-160
197,-2,-56
198,0,-45
199,2,62
200,-4,-52
201,-8,-188
202,2,68
203,0,24
204,-2,-66
205,-2,16
206,-4,-57
207,0,-12
208,-2,-44
209,-2,-119
210,-2,-56
211,0,-67
212,0,-20
213,-4,-68
214,2,27
215,-2,-110
216,2,6
217,0,-26
218,2,48
219,0,-32
220,0,-52
221,-8,-176
222,-8,-103
223,-2,-24
224,-2,-36
225,-2,-60
226,0,10
227,-4,-50
228,-4,-152
229,0,-60
230,-4,-106
231,2,-47
232,-6,-152
233,-4,-94
234,0,-38
235,-2,-119
236,4,60
237,-4,-88
238,-4,-107
239,0,28
240,-2,-81
241,0,3
242,-6,-48
243,-4,-100
244,-2,-117
245,-4,-78
246,2,38
247,0,-77
248,-2,-43
249,-6,-167
250,-6,-148
251,-6,-104
252,-4,-105
253,0,-47
254,-4,-71
255,0,-16
256,-2,-68
257,-4,-122
258,0,2
259,-4,-2
260,-4,-82
261,-2,-96
262,-2,-44
263,-2,-90
264,2,49
265,-2,-80
266,-2,-66
267,-4,-122
268,0,-5
269,-4,-150
270,-4,-62
271,-10,-224
272,-10,-124
273,0,-22
274,-2,-73
275,-6,-114
276,2,50
277,-6,-142
278,-2,-64
279,-4,-46
280,4,40
281,0,0
282,-2,-154
283,-2,-118
284,0,-67
285,-2,-30
286,-2,-114
287,-2,-48
288,-6,-86
289,-4,-43
290,-6,-98
291,0,24
292,-6,-172
293,-2,-30
294,0,-92
295,-4,-86
296,-4,-81
297,-2,-56
298,-2,-56
299,0,14
300,2,20
301,4,20
302,-6,-94
303,2,24
304,-6,-76
305,-2,-57
306,0,-20
307,0,-4
308,0,-4
309,-2,-72
310,0,8
311,-4,-138
312,-6,-66
313,0,-41
314,-4,-66
315,0,36
316,-2,-32
317,-6,-130
318,-2,-9
319,-6,-132
320,-6,-113
321,4,-3
322,-2,-15
323,0,26
324,-4,-83
325,-2,-64
326,-4,-122
327,-4,-108
328,-4,-134
329,-4,-86
330,-4,-50
331,2,40
332,-2,-56
333,0,-44
334,-6,-161
335,-4,-94
336,-2,-45
337,-8,-142
338,-6,-118
339,0,-38
340,-2,-134
341,-4,-40
342,-4,-84
343,-2,-38
344,-4,-61
345,0,48
346,-2,-44
347,0,0
348,-4,-80
349,-2,-61
350,-6,-62
351,-4,-78
352,2,26
353,-4,-78
354,-6,-60
355,0,-34
356,0,-25
357,-4,-74
358,-2,-40
359,-4,-40
360,2,30
361,-4,-115
362,-2,-31
363,-2,-80
364,-2,-44
365,-4,-98
366,0,-24
367,-2,-28
368,-2,-8
369,0,-73
370,-2,-74
371,-2,-82
372,-6,-214
373,-6,-110
374,-8,-207
375,2,-23
376,-4,-87
377,-4,-97
378,-2,-20
379,-4,-66
380,0,-108
381,-4,-90
382,-6,-164
383,-6,-92
384,-4,-174
385,0,-14
386,0,-28
387,0,44
388,-4,-92
389,-4,-70
390,2,-63
391,-6,-102
392,-8,-153
393,-4,-101
394,0,18
395,0,4
396,0,36
397,-4,-142
398,0,-67
399,0,-7
400,0,-17
401,2,-25
402,0,2
403,-2,-43
404,4,96
405,2,26
406,2,-22
407,4,-6
408,2,-11
409,-2,-82
410,-2,-71
411,0,-98
412,-10,-154
413,-4,-58
414,-4,-20
415,-4,-85
416,0,15
417,-2,-84
418,0,18
419,-2,-31
420,-4,-62
421,-2,-26
422,-8,-189
423,-6,-120
424,0,4
425,-4,-102
426,0,-16
427,0,-53
428,-6,-166
429,-4,-82
430,-4,-142
431,-4,-61
432,0,8
433,-4,-129
434,-6,-196
435,-4,-132
436,-4,-84
437,-4,-90
438,-2,-31
439,-2,-67
440,-4,-54
441,-6,-150
442,2,46
443,-4,-96
444,-4,-84
445,0,35
446,-2,-3
447,-2,-120
448,-6,-111
449,-2,-96
450,-2,-92
451,-2,-86
452,-2,-38
453,-6,-77
454,0,18
455,-4,-81
456,-4,-105
457,-2,-3
458,0,6
459,-2,-18
460,-4,-87
461,-6,-115
462,-4,-73
463,-6,-188
464,-4,-136
465,-2,-26
466,-2,-4
467,0,26
468,-6,-68
469,-4,-150
470,-2,-18
471,-6,-213
472,-2,-79
473,0,-14
474,-6,-136
475,-2,-118
476,-2,6
477,0,-8
478,0,-42
479,0,-6
480,-6,-155
481,-4,-99
482,-2,-31
483,-2,-34
484,-6,-162
485,-4,-109
486,-8,-144
487,-6,-102
488,-2,-33
489,2,13
490,2,22
491,-6,-174
492,-2,-12
493,-2,-88
494,-4,-112
495,0,-76
496,0,28
497,-2,-61
498,-6,-67
499,0,-12
500,-2,-22
501,-8,-172
502,2,38
503,-8,-112
504,-6,-121
505,0,-26
506,2,24
507,4,78
508,-2,36
509,2,8
510,0,-58
511,0,-11
512,2,-15
513,-8,-194
514,-4,-88
515,-6,-65
516,-2,-70
517,-2,18
518,0,16
519,0,6
520,-4,-179
521,6,123
522,-8,-116
523,-2,-18
524,-6,-200
525,0,-61
526,-2,-56
527,-6,-90
528,-2,-110
529,-2,-84
530,-8,-123
531,-4,-162
532,-4,-132
533,-2,-59
534,-4,-72
535,0,-28
536,-4,-56
537,-2,-38
538,4,26
539,0,-58
540,0,-30
541,2,-38
542,-2,-42
543,-2,-78
544,2,40
545,-6,-152
546,-2,-68
547,-2,-16
548,-4,-138
549,0,-78
550,-2,-95
551,2,15
552,0,33
553,0,-79
554,-4,-179
555,-8,-147
556,0,-50
557,-4,-102
558,-2,-56
559,-2,10
560,-4,-61
561,-6,-161
562,0,20
563,-6,-125
564,-6,-54
565,-2,-18
566,-4,-112
567,-4,-70
568,0,-13
569,-6,-133
570,-10,-272
571,-2,-40
572,-2,-87
573,-4,-56
574,-2,-91
575,0,26
576,-4,-165
577,-2,-72
578,0,37
579,-2,-12
580,-4,-98
581,-4,9
582,0,-51
583,-2,-27
584,-6,-148
585,-2,-76
586,-4,-125
587,-2,-20
588,0,-72
589,-6,-113
590,-4,-25
591,0,26
592,-4,-77
593,-4,-86
594,-4,-148
