num,win_per
0,9
1,11
2,17
3,10
4,11
5,15
6,17
7,12
8,10
9,20
10,18
11,16
12,14
13,21
14,15
15,19
16,18
17,17
18,20
19,21
20,18
21,16
22,20
23,19
24,15
25,18
26,17
27,19
28,12
29,20
30,17
31,20
32,18
33,19
34,21
35,20
36,21
37,15
38,14
39,14
40,16
41,16
42,21
43,16
44,17
45,20
46,18
47,21
48,22
49,21
50,19
51,22
52,22
53,23
54,25
55,20
56,23
57,17
58,18
59,24
60,21
61,18
62,19
63,22
64,21
65,18
66,18
67,20
68,19
69,20
70,21
71,17
72,19
73,24
74,19
75,19
76,18
77,23
78,26
79,24
80,17
81,22
82,21
83,21
84,19
85,19
86,22
87,22
88,22
89,21
90,22
91,21
92,25
93,22
94,26
95,22
96,20
97,25
98,20
99,27
