num,win_per
0,19
1,21
2,19
3,21
4,18
5,24
6,17
7,18
8,21
9,22
10,22
11,22
12,23
13,17
14,25
15,19
16,21
17,19
18,25
19,19
20,18
21,20
22,23
23,24
24,19
25,23
26,17
27,22
28,19
29,19
30,20
31,14
32,22
33,22
34,17
35,19
36,19
37,18
38,19
39,22
40,19
41,23
42,23
43,25
44,27
45,20
46,21
47,27
48,22
49,25
50,22
51,17
52,20
53,18
54,19
55,20
56,21
57,21
58,25
59,21
60,22
61,26
62,25
63,23
64,20
65,23
66,24
67,25
68,24
69,20
70,21
71,20
72,24
73,24
74,23
75,20
76,20
77,22
78,13
79,19
80,21
81,20
82,13
83,17
84,19
85,20
86,17
87,13
88,18
89,22
90,18
91,18
92,20
93,17
94,18
95,14
96,23
97,12
98,20
99,18
