black,white,srand_num,black_score,white_score
corner,corner,81,47,17
corner,corner,82,34,30
corner,corner,85,15,49
corner,corner,89,13,51
corner,corner,92,34,30
corner,corner,93,41,23
corner,corner,95,21,43
corner,corner,97,21,43
corner,corner,98,20,44
corner,corner,100,34,30
corner,corner,618,27,37
corner,corner,619,36,28
corner,corner,620,36,28
corner,corner,621,40,24
corner,corner,625,15,49
corner,corner,626,46,18
corner,corner,628,35,29
corner,corner,629,23,41
corner,corner,630,29,35
corner,corner,632,27,37
corner,corner,633,19,45
corner,corner,635,19,45
corner,box_corner,81,27,37
corner,box_corner,82,30,34
corner,box_corner,85,34,30
corner,box_corner,89,21,43
corner,box_corner,92,39,25
corner,box_corner,93,30,34
corner,box_corner,95,38,26
corner,box_corner,97,37,27
corner,box_corner,98,41,23
corner,box_corner,100,26,38
corner,box_corner,618,51,13
corner,box_corner,619,33,31
corner,box_corner,620,48,16
corner,box_corner,621,46,18
corner,box_corner,625,24,40
corner,box_corner,626,38,26
corner,box_corner,628,37,27
corner,box_corner,629,21,43
corner,box_corner,630,26,38
corner,box_corner,632,21,43
corner,box_corner,633,32,32
corner,box_corner,635,44,20
corner,eva_my,81,27,37
corner,eva_my,82,44,20
corner,eva_my,85,34,30
corner,eva_my,89,36,28
corner,eva_my,92,35,29
corner,eva_my,93,43,21
corner,eva_my,95,38,26
corner,eva_my,97,21,43
corner,eva_my,98,44,20
corner,eva_my,100,24,40
corner,eva_my,618,25,39
corner,eva_my,619,19,45
corner,eva_my,620,51,12
corner,eva_my,621,45,19
corner,eva_my,625,35,29
corner,eva_my,626,36,28
corner,eva_my,628,43,21
corner,eva_my,629,33,31
corner,eva_my,630,22,42
corner,eva_my,632,26,38
corner,eva_my,633,46,18
corner,eva_my,635,38,26
corner,custom,81,44,20
corner,custom,82,40,24
corner,custom,85,52,12
corner,custom,89,33,31
corner,custom,92,39,25
corner,custom,93,45,19
corner,custom,95,45,19
corner,custom,97,41,23
corner,custom,98,28,36
corner,custom,100,34,30
corner,custom,618,40,24
corner,custom,619,32,32
corner,custom,620,49,15
corner,custom,621,25,39
corner,custom,625,27,37
corner,custom,626,28,36
corner,custom,628,28,36
corner,custom,629,36,28
corner,custom,630,42,22
corner,custom,632,43,21
corner,custom,633,30,34
corner,custom,635,32,32
corner,corner+custom,81,18,46
corner,corner+custom,82,30,34
corner,corner+custom,85,32,32
corner,corner+custom,89,22,42
corner,corner+custom,92,33,31
corner,corner+custom,93,29,35
corner,corner+custom,95,39,25
corner,corner+custom,97,28,36
corner,corner+custom,98,33,31
corner,corner+custom,100,40,24
corner,corner+custom,618,44,20
corner,corner+custom,619,27,37
corner,corner+custom,620,27,37
corner,corner+custom,621,37,27
corner,corner+custom,625,38,26
corner,corner+custom,626,29,35
corner,corner+custom,628,44,20
corner,corner+custom,629,23,41
corner,corner+custom,630,19,45
corner,corner+custom,632,42,22
corner,corner+custom,633,38,26
corner,corner+custom,635,17,47
corner,box_corner+custom,81,34,30
corner,box_corner+custom,82,45,19
corner,box_corner+custom,85,18,46
corner,box_corner+custom,89,18,46
corner,box_corner+custom,92,45,19
corner,box_corner+custom,93,59,5
corner,box_corner+custom,95,45,19
corner,box_corner+custom,97,31,33
corner,box_corner+custom,98,35,29
corner,box_corner+custom,100,45,19
corner,box_corner+custom,618,29,35
corner,box_corner+custom,619,32,32
corner,box_corner+custom,620,33,31
corner,box_corner+custom,621,33,31
corner,box_corner+custom,625,52,12
corner,box_corner+custom,626,38,26
corner,box_corner+custom,628,30,34
corner,box_corner+custom,629,41,23
corner,box_corner+custom,630,30,34
corner,box_corner+custom,632,28,36
corner,box_corner+custom,633,33,31
corner,box_corner+custom,635,42,22
corner,eva_my+custom,81,50,14
corner,eva_my+custom,82,26,38
corner,eva_my+custom,85,35,29
corner,eva_my+custom,89,35,29
corner,eva_my+custom,92,26,38
corner,eva_my+custom,93,49,15
corner,eva_my+custom,95,22,42
corner,eva_my+custom,97,40,24
corner,eva_my+custom,98,39,25
corner,eva_my+custom,100,28,36
corner,eva_my+custom,618,40,24
corner,eva_my+custom,619,20,44
corner,eva_my+custom,620,34,30
corner,eva_my+custom,621,31,33
corner,eva_my+custom,625,36,28
corner,eva_my+custom,626,25,39
corner,eva_my+custom,628,44,20
corner,eva_my+custom,629,40,24
corner,eva_my+custom,630,27,37
corner,eva_my+custom,632,30,34
corner,eva_my+custom,633,29,35
corner,eva_my+custom,635,28,36
corner,corner-box,81,25,39
corner,corner-box,82,42,22
corner,corner-box,85,38,26
corner,corner-box,89,45,19
corner,corner-box,92,16,48
corner,corner-box,93,46,18
corner,corner-box,95,35,29
corner,corner-box,97,36,28
corner,corner-box,98,27,37
corner,corner-box,100,15,49
corner,corner-box,618,33,31
corner,corner-box,619,34,30
corner,corner-box,620,21,0
corner,corner-box,621,36,28
corner,corner-box,625,26,38
corner,corner-box,626,35,29
corner,corner-box,628,39,25
corner,corner-box,629,18,46
corner,corner-box,630,44,20
corner,corner-box,632,46,18
corner,corner-box,633,53,11
corner,corner-box,635,37,27
corner,doughnut,81,43,21
corner,doughnut,82,36,28
corner,doughnut,85,31,33
corner,doughnut,89,36,28
corner,doughnut,92,49,15
corner,doughnut,93,31,33
corner,doughnut,95,39,25
corner,doughnut,97,49,15
corner,doughnut,98,48,16
corner,doughnut,100,44,20
corner,doughnut,618,34,30
corner,doughnut,619,22,42
corner,doughnut,620,32,32
corner,doughnut,621,40,24
corner,doughnut,625,33,31
corner,doughnut,626,38,26
corner,doughnut,628,40,24
corner,doughnut,629,50,13
corner,doughnut,630,19,45
corner,doughnut,632,49,15
corner,doughnut,633,29,35
corner,doughnut,635,33,31
corner,doughnut+custom,81,26,38
corner,doughnut+custom,82,28,36
corner,doughnut+custom,85,38,26
corner,doughnut+custom,89,39,25
corner,doughnut+custom,92,17,47
corner,doughnut+custom,93,26,38
corner,doughnut+custom,95,24,40
corner,doughnut+custom,97,45,19
corner,doughnut+custom,98,21,43
corner,doughnut+custom,100,42,22
corner,doughnut+custom,618,32,32
corner,doughnut+custom,619,27,37
corner,doughnut+custom,620,32,32
corner,doughnut+custom,621,31,33
corner,doughnut+custom,625,20,44
corner,doughnut+custom,626,41,23
corner,doughnut+custom,628,30,34
corner,doughnut+custom,629,46,18
corner,doughnut+custom,630,21,43
corner,doughnut+custom,632,33,31
corner,doughnut+custom,633,31,33
corner,doughnut+custom,635,46,18
box_corner,corner,81,38,26
box_corner,corner,82,20,44
