black,white,srand_num,black_score,white_score
corner_mi3+_in,corner_mi3+_in,81,22,42
corner_mi3+_in,corner_mi3+_in,82,30,34
corner_mi3+_in,corner_mi3+_in,83,49,15
corner_mi3+_in,corner_mi3+_in,84,40,24
corner_mi3+_in,corner_mi3+_in,85,37,27
corner_mi3+_in,corner_mi3+_in,86,36,28
corner_mi3+_in,corner_mi3+_in,87,40,24
corner_mi3+_in,corner_mi3+_in,88,46,18
corner_mi3+_in,corner_mi3+_in,89,37,27
corner_mi3+_in,corner_mi3+_in,90,28,36
corner_mi3+_in,corner_mi3+_in,91,45,19
corner_mi3+_in,corner_mi3+_in,92,17,47
corner_mi3+_in,corner_mi3+_in,93,32,32
corner_mi3+_in,corner_mi3+_in,94,40,24
corner_mi3+_in,corner_mi3+_in,95,7,57
corner_mi3+_in,corner_mi3+_in,96,38,26
corner_mi3+_in,corner_mi3+_in,97,45,19
corner_mi3+_in,corner_mi3+_in,98,14,50
corner_mi3+_in,corner_mi3+_in,99,45,19
corner_mi3+_in,corner_mi3+_in,100,24,40
corner_mi3+_in,corner_mi3+_in,616,17,47
corner_mi3+_in,corner_mi3+_in,617,38,26
corner_mi3+_in,corner_mi3+_in,618,30,34
corner_mi3+_in,corner_mi3+_in,619,20,44
corner_mi3+_in,corner_mi3+_in,620,33,31
corner_mi3+_in,corner_mi3+_in,621,28,36
corner_mi3+_in,corner_mi3+_in,622,46,18
corner_mi3+_in,corner_mi3+_in,623,31,33
corner_mi3+_in,corner_mi3+_in,624,23,41
corner_mi3+_in,corner_mi3+_in,625,43,21
corner_mi3+_in,corner_mi3+_in,626,20,44
corner_mi3+_in,corner_mi3+_in,627,24,40
corner_mi3+_in,corner_mi3+_in,628,30,34
corner_mi3+_in,corner_mi3+_in,629,53,10
corner_mi3+_in,corner_mi3+_in,630,23,41
corner_mi3+_in,corner_mi3+_in,631,23,41
corner_mi3+_in,corner_mi3+_in,632,14,50
corner_mi3+_in,corner_mi3+_in,633,0,29
corner_mi3+_in,corner_mi3+_in,634,30,34
corner_mi3+_in,corner_mi3+_in,635,13,51
corner_mi3+_in,corner_mi3+_out,81,36,28
corner_mi3+_in,corner_mi3+_out,82,30,34
corner_mi3+_in,corner_mi3+_out,83,44,20
corner_mi3+_in,corner_mi3+_out,84,31,33
corner_mi3+_in,corner_mi3+_out,85,37,27
corner_mi3+_in,corner_mi3+_out,86,25,38
corner_mi3+_in,corner_mi3+_out,87,19,45
corner_mi3+_in,corner_mi3+_out,88,10,54
corner_mi3+_in,corner_mi3+_out,89,35,27
corner_mi3+_in,corner_mi3+_out,90,32,32
corner_mi3+_in,corner_mi3+_out,91,32,32
corner_mi3+_in,corner_mi3+_out,92,22,42
corner_mi3+_in,corner_mi3+_out,93,41,23
corner_mi3+_in,corner_mi3+_out,94,9,55
corner_mi3+_in,corner_mi3+_out,95,44,19
corner_mi3+_in,corner_mi3+_out,96,25,39
