generation,player,win_per
0,3,11
1,3,10
2,1,10
3,0,14
4,1,11
5,4,17
6,2,13
7,3,16
8,4,9
9,3,18
10,3,8
11,2,14
12,2,16
13,2,14
14,4,11
15,1,10
16,3,16
17,3,16
18,1,17
19,3,14
20,4,15
21,2,13
22,3,18
23,4,13
24,3,13
25,3,15
26,3,15
27,2,14
28,0,16
29,2,16
30,4,15
31,0,14
32,2,18
33,3,12
34,3,13
35,3,5
36,4,10
37,2,12
38,3,7
39,2,19
40,4,11
41,3,11
42,3,8
43,3,13
44,4,15
45,3,8
46,2,12
47,0,9
48,2,10
49,1,9
50,4,7
51,2,14
52,1,4
53,3,9
54,1,12
55,2,11
56,1,16
57,1,12
58,2,11
59,1,14
60,3,13
61,3,7
62,4,16
63,2,15
64,3,16
65,4,15
66,1,12
67,4,10
68,3,11
69,3,11
70,1,10
71,0,8
72,2,16
73,4,15
74,1,12
75,3,14
76,3,12
77,4,12
78,3,11
79,3,9
80,3,13
81,1,11
82,4,14
83,3,14
84,4,16
85,1,14
86,2,10
87,2,15
88,4,15
89,3,12
90,2,12
91,0,14
92,1,14
93,0,9
94,1,14
95,2,14
96,4,13
97,2,11
98,4,9
99,3,9
100,3,14
101,0,16
102,2,15
103,1,11
104,2,15
105,2,13
106,1,11
107,4,10
108,4,10
109,4,14
110,2,10
111,3,10
112,3,8
113,3,6
114,4,12
115,2,12
116,2,7
117,3,14
118,3,11
119,2,12
120,4,7
121,3,10
122,3,12
123,4,8
124,1,11
125,2,9
126,2,13
127,3,11
128,4,13
129,4,12
130,2,7
131,2,13
132,1,12
133,4,9
134,0,12
135,1,12
136,1,13
137,3,12
138,4,17
139,1,12
140,2,13
141,4,17
142,3,10
143,3,11
144,1,19
145,4,14
146,3,16
147,1,13
148,2,7
149,2,14
150,4,15
151,4,11
152,4,9
153,3,13
154,2,11
155,2,9
156,3,18
157,3,15
158,0,9
159,1,7
160,1,13
161,3,13
162,1,7
163,4,14
164,1,11
165,2,11
166,2,15
167,1,15
168,1,10
169,4,13
170,4,16
171,4,13
172,4,14
173,3,19
174,3,11
175,4,15
176,4,16
177,3,9
178,3,15
179,2,12
180,1,11
181,3,13
182,4,11
183,1,15
184,0,15
185,2,12
186,0,11
187,3,10
188,4,15
189,3,12
190,0,13
191,2,13
192,2,15
193,3,13
194,2,17
195,4,14
196,3,12
197,2,16
198,3,15
199,1,16
200,1,13
201,2,14
202,2,11
203,2,14
204,3,13
205,1,8
206,4,10
207,4,15
208,4,13
209,1,16
210,3,14
211,4,11
212,1,12
213,0,9
214,3,13
215,0,14
216,3,14
217,4,17
218,2,9
219,4,13
220,1,9
221,0,12
222,2,8
223,2,12
224,4,13
225,3,7
226,1,13
227,0,11
228,3,12
229,4,10
230,4,10
231,4,9
232,2,12
233,4,10
234,1,11
235,4,12
236,3,10
237,4,10
238,3,16
239,4,8
240,2,17
241,0,16
242,0,15
243,0,15
244,3,13
245,2,12
246,3,12
247,1,12
248,1,16
249,3,7
250,3,9
251,4,16
252,2,12
253,4,11
254,4,10
255,3,13
256,4,6
257,1,16
258,4,13
259,3,10
260,2,20
261,1,15
262,3,15
263,4,19
264,3,17
265,0,13
266,3,9
267,4,11
268,2,14
269,4,9
270,4,13
271,4,6
272,4,9
273,3,6
274,4,11
275,4,7
276,1,13
277,4,11
278,2,15
279,3,7
280,1,8
281,1,9
282,1,12
283,3,5
284,0,15
285,4,12
286,4,9
287,2,20
288,4,14
289,4,11
290,0,9
291,1,12
292,2,16
293,1,13
294,2,17
295,4,10
296,4,17
297,0,9
298,4,11
299,3,12
300,0,10
301,1,9
302,2,15
303,2,10
304,1,13
305,2,11
306,4,16
307,4,8
308,4,5
309,1,15
310,2,8
311,1,16
312,3,14
313,1,15
314,4,11
315,4,12
316,1,15
317,1,12
318,4,11
319,2,12
320,4,15
321,4,10
322,2,12
323,3,13
324,1,11
325,4,11
326,0,14
327,4,15
328,3,18
329,2,16
330,2,13
331,2,16
332,0,18
333,4,18
334,3,15
335,2,16
336,4,12
337,1,14
338,1,17
339,3,16
340,4,19
341,1,16
342,1,16
343,4,15
344,4,10
345,4,12
346,4,10
347,3,12
348,1,19
349,4,13
350,3,17
351,1,19
352,3,18
353,2,13
354,2,14
355,1,15
356,1,20
357,1,15
358,2,18
359,0,14
360,4,10
361,4,16
362,4,13
363,3,15
364,1,15
365,3,17
366,3,16
367,0,16
368,4,11
369,4,15
370,1,8
371,3,13
372,1,16
373,4,12
374,4,13
375,4,15
376,2,13
377,2,11
378,4,16
379,1,11
380,1,13
381,1,12
382,0,16
383,2,17
384,4,12
385,4,13
386,2,14
387,1,12
388,1,10
389,1,9
390,4,16
391,2,4
392,1,9
393,3,12
394,4,14
395,3,13
396,0,12
397,1,11
398,3,13
399,4,14
400,1,10
401,4,16
